unit_id,year,readmissions,discharges
1,2019,12,172
1,2020,7,154
1,2021,2,100
1,2022,7,168
2,2019,11,143
2,2020,10,214
2,2021,20,211
2,2022,1,88
3,2019,2,87
3,2020,7,183
3,2021,8,93
3,2022,3,203
4,2019,10,208
4,2020,10,218
4,2021,16,242
4,2022,8,120
5,2019,17,180
5,2020,16,221
5,2021,6,94
5,2022,14,230
6,2019,2,92
6,2020,5,145
6,2021,5,154
6,2022,5,200
7,2019,11,231
7,2020,7,192
7,2021,10,239
7,2022,6,149
8,2019,12,240
8,2020,11,208
8,2021,3,243
8,2022,6,178
9,2019,8,221
9,2020,10,237
9,2021,1,114
9,2022,5,237
10,2019,18,178
10,2020,22,240
10,2021,9,104
10,2022,18,183
11,2019,16,249
11,2020,6,99
11,2021,7,165
11,2022,5,180
12,2019,8,126
12,2020,11,169
12,2021,3,80
12,2022,12,196
13,2019,14,148
13,2020,13,155
13,2021,4,165
13,2022,8,223
14,2019,6,112
14,2020,15,226
14,2021,16,148
14,2022,1,91
15,2019,5,114
15,2020,11,214
15,2021,8,175
15,2022,3,191
16,2019,18,226
16,2020,21,207
16,2021,20,223
16,2022,11,104
17,2019,13,88
17,2020,10,86
17,2021,13,150
17,2022,16,187
18,2019,12,118
18,2020,11,205
18,2021,16,140
18,2022,15,210
19,2019,25,245
19,2020,24,239
19,2021,7,159
19,2022,6,99
20,2019,5,91
20,2020,21,243
20,2021,13,107
20,2022,3,89
21,2019,8,144
21,2020,14,208
21,2021,15,212
21,2022,6,157
22,2019,10,118
22,2020,13,164
22,2021,11,185
22,2022,12,194
23,2019,16,171
23,2020,9,149
23,2021,20,169
23,2022,7,124
24,2019,9,87
24,2020,8,135
24,2021,20,230
24,2022,5,97
25,2019,11,165
25,2020,8,162
25,2021,2,100
25,2022,4,154
26,2019,4,115
26,2020,6,197
26,2021,3,123
26,2022,1,99
27,2019,6,143
27,2020,12,179
27,2021,12,213
27,2022,15,230
28,2019,12,163
28,2020,10,96
28,2021,12,114
28,2022,10,121
29,2019,11,183
29,2020,13,213
29,2021,8,121
29,2022,6,112
30,2019,12,94
30,2020,12,102
30,2021,19,185
30,2022,16,216
31,2019,10,90
31,2020,18,228
31,2021,11,136
31,2022,17,194
32,2019,10,216
32,2020,4,187
32,2021,4,240
32,2022,3,160
33,2019,13,128
33,2020,26,202
33,2021,18,237
33,2022,11,109
34,2019,6,89
34,2020,13,144
34,2021,7,151
34,2022,15,146
35,2019,8,114
35,2020,26,199
35,2021,14,221
35,2022,11,86
36,2019,4,99
36,2020,5,165
36,2021,1,193
36,2022,3,119
37,2019,16,233
37,2020,4,116
37,2021,4,96
37,2022,8,106
38,2019,7,143
38,2020,10,194
38,2021,10,119
38,2022,9,160
39,2019,5,210
39,2020,7,181
39,2021,11,141
39,2022,5,111
40,2019,15,216
40,2020,19,138
40,2021,19,195
40,2022,9,182
41,2019,7,116
41,2020,5,240
41,2021,6,92
41,2022,6,95
42,2019,7,221
42,2020,10,200
42,2021,3,131
42,2022,3,189
43,2019,14,85
43,2020,14,147
43,2021,13,184
43,2022,11,108
44,2019,4,139
44,2020,8,141
44,2021,3,176
44,2022,7,249
45,2019,33,237
45,2020,4,81
45,2021,17,192
45,2022,15,177
46,2019,12,149
46,2020,12,142
46,2021,6,116
46,2022,15,217
47,2019,6,129
47,2020,5,112
47,2021,4,108
47,2022,2,154
48,2019,13,106
48,2020,7,104
48,2021,8,106
48,2022,5,96
49,2019,16,209
49,2020,12,151
49,2021,5,125
49,2022,3,176
50,2019,8,229
50,2020,3,202
50,2021,11,193
50,2022,7,185
51,2019,18,198
51,2020,11,123
51,2021,16,229
51,2022,5,138
52,2019,21,173
52,2020,6,103
52,2021,15,243
52,2022,12,243
53,2019,13,204
53,2020,9,119
53,2021,9,120
53,2022,5,84
54,2019,3,93
54,2020,5,212
54,2021,8,244
54,2022,3,157
55,2019,3,138
55,2020,1,122
55,2021,5,108
55,2022,4,207
56,2019,3,87
56,2020,3,134
56,2021,2,105
56,2022,9,151
57,2019,13,240
57,2020,9,152
57,2021,4,188
57,2022,7,155
58,2019,17,189
58,2020,5,88
58,2021,5,91
58,2022,4,125
59,2019,28,203
59,2020,9,130
59,2021,16,204
59,2022,9,106
60,2019,13,118
60,2020,16,135
60,2021,6,115
60,2022,14,229
61,2019,15,201
61,2020,16,231
61,2021,9,116
61,2022,16,187
62,2019,6,116
62,2020,3,81
62,2021,7,204
62,2022,2,115
63,2019,10,202
63,2020,3,92
63,2021,8,228
63,2022,9,146
64,2019,7,115
64,2020,18,223
64,2021,13,223
64,2022,17,194
65,2019,16,228
65,2020,8,111
65,2021,12,164
65,2022,15,154
66,2019,11,134
66,2020,21,222
66,2021,25,237
66,2022,5,86
67,2019,14,89
67,2020,12,133
67,2021,15,144
67,2022,22,204
68,2019,8,228
68,2020,1,139
68,2021,3,122
68,2022,6,241
69,2019,7,152
69,2020,8,203
69,2021,5,171
69,2022,3,228
70,2019,9,144
70,2020,5,161
70,2021,13,218
70,2022,11,196
71,2019,13,161
71,2020,8,100
71,2021,4,166
71,2022,10,231
72,2019,7,175
72,2020,11,190
72,2021,12,232
72,2022,11,201
73,2019,15,243
73,2020,6,174
73,2021,7,138
73,2022,16,228
74,2019,4,108
74,2020,9,123
74,2021,9,190
74,2022,6,228
75,2019,17,133
75,2020,28,200
75,2021,12,154
75,2022,14,211
76,2019,22,233
76,2020,15,182
76,2021,7,99
76,2022,6,103
77,2019,7,109
77,2020,12,142
77,2021,17,216
77,2022,8,140
78,2019,31,233
78,2020,23,244
78,2021,6,84
78,2022,7,120
79,2019,9,214
79,2020,8,185
79,2021,1,86
79,2022,11,239
80,2019,16,226
80,2020,14,219
80,2021,9,196
80,2022,12,150
