,height,age
0,1.69,82.0
1,1.74,68.0
2,1.73,72.0
3,1.78,52.0
4,1.82,27.0
5,1.8,38.0
6,1.75,32.0
7,1.77,39.0
8,1.77,61.0
9,1.87,97.0
10,1.71,31.0
11,1.86,51.0
12,1.8,23.0
13,1.69,33.0
14,1.74,42.0
15,1.93,54.0
16,1.83,41.0
17,1.67,70.0
18,1.82,44.0
19,1.78,45.0
20,1.77,60.0
21,1.83,56.0
22,1.7,24.0
23,1.76,59.0
24,1.74,54.0
25,1.77,50.0
26,1.78,39.0
27,1.75,51.0
28,1.79,51.0
29,1.73,73.0
30,1.78,60.0
31,1.85,45.0
32,1.75,47.0
33,1.76,38.0
34,1.76,37.0
35,1.88,23.0
36,1.76,31.0
37,1.75,42.0
38,1.8,43.0
39,1.8,28.0
40,1.78,52.0
41,1.79,85.0
42,1.85,91.0
43,1.67,49.0
44,1.87,31.0
45,1.69,73.0
46,1.74,33.0
47,1.73,79.0
48,1.75,33.0
49,1.86,52.0
50,1.69,59.0
51,1.79,38.0
52,1.81,72.0
53,1.79,71.0
54,1.86,47.0
55,1.73,41.0
56,1.85,25.0
57,1.83,55.0
58,1.78,28.0
59,1.79,40.0
60,1.71,34.0
61,1.72,39.0
62,1.79,64.0
63,1.76,43.0
64,1.82,66.0
65,1.91,34.0
66,1.76,68.0
67,1.68,29.0
68,1.85,41.0
69,1.64,48.0
70,1.78,40.0
71,1.85,67.0
72,1.8,58.0
73,1.84,64.0
74,1.69,28.0
75,1.79,39.0
76,1.82,22.0
77,1.8,49.0
78,1.77,87.0
79,1.72,46.0
80,1.81,83.0
81,1.75,24.0
82,1.76,22.0
83,1.87,42.0
84,1.8,29.0
85,1.69,24.0
86,1.73,59.0
87,1.9,65.0
88,1.82,70.0
89,1.71,42.0
90,1.72,24.0
91,1.71,33.0
92,1.86,51.0
93,1.76,34.0
94,1.8,68.0
95,1.84,22.0
96,1.83,44.0
97,1.65,27.0
98,1.88,45.0
99,1.71,20.0
